Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000291124.2,72.25942210887384,0.45060106346104717,0.26157436712053445,0.07461110032415161,0.10589066484252366,HuT78_vs_HH
ENSG00000104824.20,12683.326994141682,0.16456322042006402,0.09240783582011856,0.07467576487064491,0.10597404369911308,HuT78_vs_HH
ENSG00000164896.23,1460.5407280223471,-0.16047187072209002,0.09045756206926131,0.0747171325844271,0.10602435091089199,HuT78_vs_HH
ENSG00000120370.15,416.3574575228907,0.2113003394326392,0.11910278825944522,0.07477876942992959,0.1061034099744328,HuT78_vs_HH
ENSG00000100577.21,505.10977546521246,-0.26666679938988475,0.15229721231176863,0.07485597562387072,0.10620454607599937,HuT78_vs_HH
ENSG00000136100.16,1011.6096012452457,0.15784320720040743,0.08894568699520351,0.0750066252992456,0.10640985842857023,HuT78_vs_HH
ENSG00000308230.1,20.48685355863863,-0.7470139111050206,0.47477031250564417,0.07509028792125898,0.10652011308174476,HuT78_vs_HH
ENSG00000159063.16,1238.4994323304597,0.15620686175552206,0.08729999995535319,0.07527277969289482,0.10677053429914575,HuT78_vs_HH
ENSG00000239763.2,11.006390407332544,0.8642741699743763,0.576919210627253,0.07542650934454861,0.10698012151908705,HuT78_vs_HH
ENSG00000213087.3,44.60405276920722,0.6386109652320754,0.389515705132429,0.07550059874606829,0.10706825192241062,HuT78_vs_HH
ENSG00000167995.18,7.681449082789235,1.1914926874926022,1.001024189630967,0.07549614120136448,0.10706825192241062,HuT78_vs_HH
ENSG00000224420.6,204.4328861721518,0.34685332753721837,0.1988949968677271,0.0755165139458662,0.1070823450482977,HuT78_vs_HH
ENSG00000185049.18,2271.9592136259284,0.09192697744241007,0.052291826275496014,0.07562316259248167,0.10722508570196353,HuT78_vs_HH
ENSG00000165731.24,40.7191598377893,0.7753614309301277,1.3447127962093028,0.0757148698092774,0.10734662018306462,HuT78_vs_HH
ENSG00000234350.8,25.841350723149517,-0.7362865449072549,0.46490795182356665,0.0757327521988308,0.10736347674622566,HuT78_vs_HH
ENSG00000102910.16,1013.9447726286331,-0.1656029478009327,0.09395310894349147,0.07577265303892929,0.10741154290175804,HuT78_vs_HH
ENSG00000125124.16,231.033467135141,0.2907845948730418,0.16606099578871852,0.07618901615392813,0.10799321341859502,HuT78_vs_HH
ENSG00000123143.15,5442.95404566051,-0.13733357811808444,0.07940410784381827,0.0762539999615047,0.10807677288847758,HuT78_vs_HH
ENSG00000114988.14,397.0088285040427,0.22000707082166554,0.1251785211513207,0.0763023922677936,0.10813680543291847,HuT78_vs_HH
ENSG00000131771.16,8.543145193294524,0.23868093086297607,1.058865101714161,0.07633647466416241,0.10817654988201783,HuT78_vs_HH
ENSG00000293507.2,6.9182025326723835,1.096615856163774,0.9067307664862647,0.07645268984530426,0.1083326693489382,HuT78_vs_HH
ENSG00000238062.7,52.88398465253449,1.1706043455668937,1.136669545125285,0.0764605193770227,0.10833519492560595,HuT78_vs_HH
ENSG00000272791.1,11.871514893814231,0.8639626885602688,0.5809076314235608,0.07653887345782057,0.10843763685226218,HuT78_vs_HH
ENSG00000204866.10,7.983481446209352,1.12411128687596,1.4900710046572905,0.07655370840231941,0.1084500779714971,HuT78_vs_HH
ENSG00000182872.18,3250.4794768671036,-0.13907102293994852,0.07881718030162456,0.07660962793038736,0.10852071513978727,HuT78_vs_HH
ENSG00000225791.8,121.93559502233111,-0.43451682590765484,0.2543690887014823,0.07663248709002908,0.10854451345808594,HuT78_vs_HH
ENSG00000272010.1,24.242376396385833,0.6280623646455453,0.383116305451722,0.07667914892347281,0.10860202015685157,HuT78_vs_HH
ENSG00000184709.8,104.59930453412952,-0.45240761882343294,0.2656420313051509,0.07672330083273055,0.10865596319512788,HuT78_vs_HH
ENSG00000158850.17,1455.2922276467998,-0.1604582876967027,0.09143174839308683,0.07690976270061252,0.10891142192565595,HuT78_vs_HH
ENSG00000237499.8,28.965202492249443,0.6225757210519505,0.37893693784598165,0.07710561797080823,0.10918014115926568,HuT78_vs_HH
ENSG00000210117.1,33.528517981904685,-0.719487093428718,0.4563899983001607,0.07711357037601453,0.10918277193442665,HuT78_vs_HH
ENSG00000077420.19,195.51077870431777,-1.063854122620073,1.2617966825462141,0.07713012206054909,0.10918989367263836,HuT78_vs_HH
ENSG00000186280.8,53.206103583393535,0.5029577992525126,0.2972521068955067,0.0771307900880401,0.10918989367263836,HuT78_vs_HH
ENSG00000135870.15,862.4773050636585,0.1863212028659102,0.1062292776738121,0.0772543762790469,0.10935620662445679,HuT78_vs_HH
ENSG00000213199.10,99.5173315312334,0.47240626620665815,0.27833976313827086,0.07734272274539207,0.10947261420429003,HuT78_vs_HH
