Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000125384.9,280.17261752974395,13.954655810382903,3.214045926597969,3.3378752075987856e-26,2.5231238119887023e-25,HuT78_vs_HH,ENSG00000125384,PTGER2,protein_coding,Up
ENSG00000256235.5,442.34483182217036,13.945619932037504,3.8029418095900085,7.817086802196874e-9,2.2804610008362968e-8,HuT78_vs_HH,ENSG00000256235,SMIM3,protein_coding,Up
ENSG00000214194.11,925.8329781828267,13.942257126747482,2.672613761174396,3.0035641291457102e-28,2.485397292085238e-27,HuT78_vs_HH,ENSG00000214194,SMIM30,protein_coding,Up
ENSG00000100473.20,281.52785773970425,13.900699359021644,3.1490302896509164,3.713594931078703e-26,2.80358420523704e-25,HuT78_vs_HH,ENSG00000100473,COCH,protein_coding,Up
ENSG00000105854.15,732.8563291999229,13.806969991138248,2.805610925711734,2.6829361324453895e-27,2.1333688776191368e-26,HuT78_vs_HH,ENSG00000105854,PON2,protein_coding,Up
ENSG00000128342.6,1711.6242225092435,13.804429240727401,2.7177956718402374,1.8668945229110175e-27,1.4937657605158948e-26,HuT78_vs_HH,ENSG00000128342,LIF,protein_coding,Up
ENSG00000240403.8,270.19569226611543,13.749613930501237,3.1986935878329494,2.360312138981684e-20,1.35746362664067e-19,HuT78_vs_HH,ENSG00000240403,KIR3DL2,protein_coding,Up
ENSG00000181104.8,2257.568067384049,13.705779778974602,2.5712722451701295,9.546109551927733e-28,7.717443710414501e-27,HuT78_vs_HH,ENSG00000181104,F2R,protein_coding,Up
ENSG00000198286.13,807.5379621691984,13.696848414489276,2.631123713938846,2.7624515890660864e-27,2.192972443026573e-26,HuT78_vs_HH,ENSG00000198286,CARD11,protein_coding,Up
ENSG00000268480.4,438.3524066107717,13.679292333478022,2.9722592500786544,1.405191393919747e-25,1.0381032503947326e-24,HuT78_vs_HH,ENSG00000268480,NFILZ,protein_coding,Up
ENSG00000253276.5,728.3630848134446,13.667192723758317,2.6791613390849798,2.738344470519042e-27,2.175496283341403e-26,HuT78_vs_HH,ENSG00000253276,CCDC71L,protein_coding,Up
ENSG00000110328.8,210.66096254027903,13.64164032626991,3.3501976013093238,1.4977528399207878e-24,1.0580537116396259e-23,HuT78_vs_HH,ENSG00000110328,GALNT18,protein_coding,Up
