Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000134285.13,Module 1,ENSG00000134285,FKBP11,protein_coding
ENSG00000121895.11,Module 6,ENSG00000121895,TMEM156,protein_coding
ENSG00000108176.17,Module 1,ENSG00000108176,DNAJC12,protein_coding
ENSG00000164136.19,Module 1,ENSG00000164136,IL15,protein_coding
ENSG00000181744.10,Module 3,ENSG00000181744,DIPK2A,protein_coding
ENSG00000134324.14,Module 3,ENSG00000134324,LPIN1,protein_coding
ENSG00000138796.20,Module 3,ENSG00000138796,HADH,protein_coding
ENSG00000140105.20,Module 1,ENSG00000140105,WARS1,protein_coding
ENSG00000186367.7,Module 3,ENSG00000186367,MINAR2,protein_coding
ENSG00000135631.19,Module 1,ENSG00000135631,RAB11FIP5,protein_coding
ENSG00000181577.17,Module 3,ENSG00000181577,LINC03040,protein_coding
ENSG00000115414.23,Module 1,ENSG00000115414,FN1,protein_coding
ENSG00000181847.14,Module 1,ENSG00000181847,TIGIT,protein_coding
ENSG00000105327.20,Module 1,ENSG00000105327,BBC3,protein_coding
ENSG00000140853.19,Module 3,ENSG00000140853,NLRC5,protein_coding
ENSG00000075234.19,Module 1,ENSG00000075234,TTC38,protein_coding
ENSG00000162783.11,Module 2,ENSG00000162783,IER5,protein_coding
ENSG00000066629.21,Module 3,ENSG00000066629,EML1,protein_coding
ENSG00000122122.11,Module 5,ENSG00000122122,SASH3,protein_coding
ENSG00000043355.13,Module 1,ENSG00000043355,ZIC2,protein_coding
ENSG00000133818.16,Module 1,ENSG00000133818,RRAS2,protein_coding
ENSG00000102226.12,Module 5,ENSG00000102226,USP11,protein_coding
